127.0.0.1 - - [09/May/2014:00:22:03 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:25 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:26 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQueryPlugin/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:26 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/registerLesson.jsp?code=01cb291927e4fc1a053004a26b015644&state=xx HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:26 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/sanrenxingCSS/sanrenxing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:26 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQuery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:26 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_body.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:26 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:51 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/registerLesson.jsp?code=01cb291927e4fc1a053004a26b015644&state=xx HTTP/1.1" 200 4772
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:51 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQuery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:51 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQueryPlugin/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:51 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/sanrenxingCSS/sanrenxing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:51 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:51 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_body.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/registerLesson.jsp?code=01cb291927e4fc1a053004a26b015644&state=xx HTTP/1.1" 200 4772
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/sanrenxingCSS/sanrenxing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQueryPlugin/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQuery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_body.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/registerLesson.jsp?code=01cb291927e4fc1a053004a26b015644&state=xx HTTP/1.1" 200 4772
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQueryPlugin/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQuery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/sanrenxingCSS/sanrenxing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_body.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/registerLesson.jsp?code=01cb291927e4fc1a053004a26b015644&state=xx HTTP/1.1" 200 4772
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/sanrenxingCSS/sanrenxing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQuery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:52 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQueryPlugin/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:53 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_body.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:53 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:53 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/registerLesson.jsp?code=01cb291927e4fc1a053004a26b015644&state=xx HTTP/1.1" 200 4772
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:53 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/sanrenxingCSS/sanrenxing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:53 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQuery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:53 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQueryPlugin/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2014:00:29:53 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_body.jpg HTTP/1.1" 304 -
